PlotOrder,Description,ID,PercentSet,Count,setSize,qvalue,pvalue,p.adjust,NES,enrichmentScore,core_enrichment
1,CYTOKINE PRODUCTION,GOBP_CYTOKINE_PRODUCTION,0.221311,108,488,6.13939999108188e-06,2.32979545815809e-08,6.80361553858255e-06,1.701571,0.403175,Mmp12/Chil1/Mmp8/Ltf/Gprc5b/Lilra6/Fn1/Inhba/Mapk13/Pira12/Arg2/Clec5a/Cd33/Lpl/Laptm4b/Il1r2/Clec4n/Il1rl2/Cd24a/Clec7a/C5ar2/Clec4e/Arg1/C3/Pf4/Igf2bp2/Rps6ka4/Alox5/Cybb/Klf2/Abcd2/Nlrp1a/Cxcl5/F11r/Anxa4/Ceacam1/Ebi3/Thbs1/Ptafr/Zbtb12/Fcgr2b/Zfp36/Cd40/Gpnmb/Pnp2/Scamp5/Anxa1/Mapk11/Cebpb/Cd81/Heg1/Fgr/Gata4/Ptgs2/Hmox1/Clec4a3/Arrb1/Arrdc4/Oas1a/Tlr4/Il27/Trem2/Gsdmd/Cd83/Irf7/Prnp/Lilrb4b/Hpse/Acod1/Nos2/App/Ndrg2/Klf4/Btk/Siglec1/Tyrobp/Hgf/Bcl3/H2-Eb1/Tlr2/Il6st/Irf5/Pirb/Nfam1/Pld4/Trib2/Ifi205/Isg15/Rnf128/Tmem106a/Gas6/Trim21/Il18/Trem1/Il6ra/Nlrx1/Fcer1g/Oas2/Irak3/Eola1/Unc93b1/Il15/Rab7b/Abcd1/Cd74/Il1r1/Rsad2/Syk
2,RESPONSE TO MOLECULE OF BACTERIAL ORIGIN,GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,0.257143,54,210,1.37825920167351e-06,3.18285321565441e-09,1.52737168686216e-06,1.997755,0.49831,Ppbp/Cxcl3/S100a8/S100a9/Mmp8/Ltf/Epo/Cxcl2/Il36g/Slpi/Camp/Lilra6/Pira12/Mmp9/Cd24a/Pf4/Ccl2/Cxcl5/Cxcl10/Fos/Ptafr/Nr1d1/Fcgr2b/Zfp36/Ahr/Cd40/Ptgir/Ednrb/Cebpb/Nfkbia/Ptgs2/Tlr4/Cmpk2/Trem2/Tifab/Cd68/Acod1/Nos2/Nr4a1/Btk/Irak2/Dusp10/Tlr2/Irf5/Hck/Pirb/Cd180/Cnr2/Mrc1/Mapk3/Hdac5/Plscr3/Scarb1/Irak3
3,INFLAMMATORY RESPONSE,GOBP_INFLAMMATORY_RESPONSE,0.267666,125,467,5.38507353530282e-15,1.55448795458453e-18,5.96767925765e-15,2.09319,0.495733,Ppbp/Cxcl3/S100a8/Ggt5/S100a9/Chil1/Cd5l/Mmp8/Epo/Hp/Cxcl2/Il36g/Ccl22/Il1rn/Gprc5b/Fn1/Mapk13/Lpl/Cxcr2/Il1r2/Il1rl2/Mmp9/Clec7a/Ptges/C5ar2/Ptx3/Loxl3/Fads2/Fabp4/C3/Pf4/Ccl9/Ccl2/Smpdl3b/Rps6ka4/Alox5/Cybb/Fpr1/Ier3/Abcd2/Cdh5/Nlrp1a/Cxcl5/Itgam/F11r/Ceacam1/Cxcl10/Fos/Ccl12/Ccl6/Thbs1/Ptafr/Ecm1/Nr1d1/Lyz2/Fcgr2b/Alox5ap/Zfp36/Cxcr4/Fpr2/Ahr/Cd40/Ccl5/Socs3/Ptgir/Anxa1/Ednrb/Cebpb/Cebpa/Cd81/Blnk/Fgr/Nfkbia/Lrp1/Ptgs2/Hmox1/Ninj1/Ldlr/Tlr4/Plk2/Il27/Ltb4r1/Lipa/Trem2/Gsdmd/Napepld/Bst1/Cd68/Esr1/Lilrb4b/Acod1/Nos2/App/Klf4/Nr4a1/Ccr1/Btk/Siglec1/Tyrobp/Irak2/Hgf/Dusp10/H2-Eb1/Tlr2/Il6st/Prkcd/Irf5/Hck/Nfam1/Cd200r4/Pld4/Cd180/Prdx5/Cnr2/Ifi205/Ccl7/Rab44/Grn/Aoah/Cysltr1/Il18/Il6ra/Nupr1/Nlrx1/Hdac5
4,CYTOKINE MEDIATED SIGNALING PATHWAY,GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY,0.27305,77,282,1.51577455116498e-07,2.62531599563669e-10,1.67976468454154e-07,1.977594,0.480161,Ppbp/Cxcl3/Mmp12/Mmp8/Epo/Cxcl2/Il36g/Ccl22/Il1rn/Lilra6/Inhba/Pira12/Cxcr2/Il1r2/Il1rl2/Cd24a/Arg1/Pf4/Oasl1/Ccl9/Ccl2/Rps6ka4/Csf3r/Cd300lf/Csf2ra/Cxcl5/Il13ra1/Ceacam1/Cxcl10/Ccl12/Ebi3/Ccl6/Acsl1/Ecm1/Cav1/Cxcr4/Slc27a1/Ccl5/Rffl/Cebpa/Pdgfb/Nfkbia/Oas1a/Trem2/Irf7/Lilrb4b/Ccr1/Sh2b2/Irak2/Il6st/Irf5/Hck/Pirb/Ifitm1/Ifitm3/Ccl7/Mapk3/Isg15/Gas6/Il18/Il6ra/Fcer1g/Oas2/Irak3/Il15/Spi1/Cd74/Csf2rb2/Prkn/Il1r1/Syk/Il17re/Csf2/Tnfrsf1a/Pias4/Pycard/Il15ra
5,CELLULAR RESPONSE TO MOLECULE OF BACTERIAL ORIGIN,GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,0.283688,40,141,6.96399849512349e-06,3.21643200017858e-08,7.71742653042848e-06,2.054969,0.53112,Ppbp/Cxcl3/Mmp8/Ltf/Cxcl2/Il36g/Camp/Lilra6/Pira12/Mmp9/Pf4/Ccl2/Cxcl5/Cxcl10/Ptafr/Nr1d1/Fcgr2b/Zfp36/Ahr/Cd40/Ednrb/Nfkbia/Tlr4/Cmpk2/Trem2/Tifab/Cd68/Acod1/Nos2/Irak2/Tlr2/Hck/Pirb/Cd180/Mrc1/Mapk3/Hdac5/Plscr3/Scarb1/Irak3
6,RESPONSE TO BACTERIUM,GOBP_RESPONSE_TO_BACTERIUM,0.297143,104,350,2.2088838041103e-12,1.27525956481603e-15,2.44786073466438e-12,2.127914,0.507753,Ppbp/Cxcl3/S100a8/S100a9/Mmp8/Ltf/Epo/Hp/Lrg1/Cxcl2/Il36g/Lcn2/Slpi/Camp/Lilra6/Trdn/Pira12/Defb1/Arg2/Lpl/Mmp9/Cd24a/Clec4e/Fabp4/C3/Pf4/Ang/Ccl2/Pygl/Abcd2/Ccdc80/Nlrp1a/Cxcl5/Itgam/Rasgrp4/Cxcl10/Fos/Ptafr/Nr1d1/Cav1/Lyz2/Fcgr2b/Zfp36/Fpr2/Ahr/Cd40/Anxa3/Colec12/Ptgir/Ednrb/Cebpb/Ociad2/Rnase4/H2bc4/Ighm/Fgr/Nfkbia/Ptgs2/Oas1a/Tlr4/Cmpk2/Emilin1/Il27/Trem2/Mpeg1/Tifab/Gsdmd/Cd68/Acod1/Nos2/Nr4a1/Btk/Irak2/Dusp10/Bcl3/H2-Eb1/Tlr2/Rnf31/Prkcd/Irf5/Hck/Pirb/Cd180/Cnr2/Mrc1/Grn/Mapk3/Isg15/Lgals4/Il18/Trem1/Il6ra/Hdac5/Fcer1g/Plscr3/Scarb1/Oas2/Irak3/Emilin2/Csf2rb2/Slc22a5/Gpx1/Syk/Il24
7,LEUKOCYTE MIGRATION,GOBP_LEUKOCYTE_MIGRATION,0.297674,64,215,6.13939999108188e-06,2.48113095962896e-08,6.80361553858255e-06,1.944439,0.484025,Ppbp/Cxcl3/S100a8/S100a9/Gdf15/Cxcl2/Ccl22/F7/Cxcr2/C5ar2/Pf4/Ccl9/Ccl2/Csf3r/Alox5/Cxcl5/Emp2/F11r/Cxcl10/Ccl12/Ccl6/Cd9/Thbs1/Ptafr/Ecm1/Prtn3/Mmp14/Cxcr4/Fpr2/Ccl5/Anxa1/Ednrb/Cd81/Pdgfb/Hmox1/Cd300c2/Ninj1/Dusp1/Lgals3/Emilin1/Trem2/Bst1/App/Ccr1/Cd300a/Srp54a/Hck/Mtus1/Cnr2/Ccl7/Mapk3/Gas6/Trem1/Il6ra/Fcer1g/Lgmn/Cd74/Il1r1/Syk/Fut7/Med23/Cxcl16/P2ry12/Pycard
8,CELLULAR RESPONSE TO BIOTIC STIMULUS,GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS,0.312883,51,163,2.03450592981316e-05,1.17458561733364e-07,2.25461709247192e-05,1.98114,0.504144,Ppbp/Cxcl3/Mmp8/Ltf/Cxcl2/Il36g/Camp/Lilra6/Pira12/Mmp9/Clec7a/Pf4/Ccl2/Cxcl5/Cxcl10/Ptafr/Nr1d1/Fcgr2b/Zfp36/Ahr/Cd40/Ednrb/Nfkbia/Tlr4/Cmpk2/Trem2/Tifab/Cd68/Acod1/Nos2/Btk/Fbh1/Irak2/Tlr2/Hck/Pirb/Cd180/Mrc1/Mapk3/Hdac5/Plscr3/Scarb1/Irak3/Syk/Il24/Csf2/Pycard/Sirpa/Adam9/Litaf/Stap1
9,MYELOID LEUKOCYTE MIGRATION,GOBP_MYELOID_LEUKOCYTE_MIGRATION,0.367188,47,128,5.07567051862143e-06,1.61169118564552e-08,5.62480223790286e-06,2.097272,0.549225,Ppbp/Cxcl3/S100a8/S100a9/Cxcl2/Ccl22/Cxcr2/C5ar2/Pf4/Ccl9/Ccl2/Csf3r/Cxcl5/Emp2/Cxcl10/Ccl12/Ccl6/Cd9/Thbs1/Prtn3/Mmp14/Fpr2/Ccl5/Anxa1/Ednrb/Cd81/Pdgfb/Cd300c2/Dusp1/Lgals3/Emilin1/Trem2/Bst1/Ccr1/Cd300a/Srp54a/Mtus1/Ccl7/Mapk3/Trem1/Il6ra/Fcer1g/Lgmn/Cd74/Il1r1/Syk/Fut7
10,NUCLEIC ACID CATABOLIC PROCESS,GOBP_NUCLEIC_ACID_CATABOLIC_PROCESS,0.370741,185,499,8.11316745337592e-06,4.21559293384164e-08,8.99092292945447e-06,-1.555125,-0.290987,Etf1/Nsun3/Gtdc1/Ints2/Sart1/Rrp15/Nop14/Rrp36/Pus1/Tyw1/Traf3ip2/Gtf2h5/Tsen2/Nat10/Cnot6/Mocs3/Rtcb/Tarbp1/Wdr46/Cdkal1/Rbm33/Rpf1/Eri1/Ddx49/Nol10/Nsun2/Riok1/Lsm11/Nhp2/Lrpprc/Trmt2a/Gtpbp4/Mrm3/Cpsf2/Zswim8/Rrp7a/Ythdf3/Apex1/Sbds/Zcchc4/Prorp/Hsf1/Krr1/Nbas/Nob1/Ints10/Ints1/Nvl/Thumpd1/Znhit3/Yrdc/Prkca/Nolc1/Mettl5/Imp4/Paf1/Mphosph10/Ddx10/Trub1/Rrp1b/Tnrc6a/Trir/Ddx27/Tsen15/Rcl1/Tnrc6b/Lage3/Smg8/Las1l/Dtwd2/Fam98a/Rrp9/Larp7/Heatr1/Dhx9/Elp1/Rrp12/Igf2bp3/Thada/Pop1/Ints8/Wdr6/Ythdf2/Riok2/Dus1l/Rpl7l1/Elavl1/Pih1d1/Fastkd5/Nmnat1/Syncrip/Trmt6/Zcchc7/Dis3l2/Mettl8/Wdr18/Bop1/Wdr43/Dus2/Dkc1/Nbdy/Rprd1b/Toe1/Wdr74/Ddx21/Noc4l/Ints6/Lsm1/Ftsj3/Prr5l/Elp4/Nop58/Cstf2t/Cirbp/Zpr1/Trp53rka/Pdcd11/Mettl1/Pkp3/Tut1/Utp15/Wdr36/Smg9/Wdr82/Utp4/Elac2/Exosc4/Nop2/Mphosph6/Ddx56/Dna2/Dus3l/Tent5a/Tsr1/Cstf2/Ago4/Trmt61a/Dis3/Suv39h1/Ttc37/Atm/Ncbp2/Dimt1/Nol6/Pus10/Dus4l/Trub2/Ints7/Noct/Cpsf7/Nol9/Ints3/Urb1/Sepsecs/Wdr4/Trmt11/Nsun5/Ints4/Dhx37/Kri1/Trmt1/Ebna1bp2/Pusl1/Tent4a/Secisbp2/Pus7/Ctu1/Exosc10/Trmt12/Fastk/Qtrt2/Bcdin3d/Nanos1/Utp20/Nsun6/Supv3l1/Srfbp1/Rnf113a1/Rpp40/Kti12/Mettl2/Trmt44/Pus7l/Rpusd1/Ddx51
11,DEFENSE RESPONSE TO BACTERIUM,GOBP_DEFENSE_RESPONSE_TO_BACTERIUM,0.379845,49,129,4.72598246503636e-07,9.54961512989723e-10,5.23728178338221e-07,2.181591,0.570716,Ppbp/S100a8/S100a9/Ltf/Hp/Lcn2/Slpi/Camp/Defb1/Arg2/Clec4e/Ang/Nlrp1a/Cxcl5/Rasgrp4/Lyz2/Fpr2/Anxa3/Colec12/Cebpb/Rnase4/H2bc4/Ighm/Fgr/Oas1a/Tlr4/Emilin1/Trem2/Mpeg1/Gsdmd/Nos2/Bcl3/Tlr2/Rnf31/Prkcd/Grn/Isg15/Lgals4/Il18/Trem1/Il6ra/Fcer1g/Oas2/Emilin2/Syk/Tnfrsf1a/Rnf213/Pycard/Clec4d
12,HUMORAL IMMUNE RESPONSE,GOBP_HUMORAL_IMMUNE_RESPONSE,0.393939,39,99,3.31233335949568e-08,4.78079108404877e-11,3.67069139433264e-08,2.315015,0.630872,Ppbp/Cxcl3/S100a9/Cd5l/Ltf/Cxcl2/Ccl22/Slpi/Camp/Defb1/C3/Pf4/Ang/Ccl9/Ccl2/Alox5/Cxcl5/Cxcl10/Ccl12/Ebi3/Ccl6/Prtn3/Lyz2/Fcgr2b/Ccl5/Cd81/Rnase4/H2bc4/Ighm/Blnk/Trem2/Cd83/Bst1/Acod1/Bcl3/H2-Eb1/Ccl7/Lgals4/Trem1
13,GRANULOCYTE MIGRATION,GOBP_GRANULOCYTE_MIGRATION,0.409639,34,83,3.56336952709161e-06,9.25761454166918e-09,3.94888691394089e-06,2.217595,0.61867,Ppbp/Cxcl3/S100a8/S100a9/Cxcl2/Ccl22/Cxcr2/C5ar2/Pf4/Ccl9/Ccl2/Csf3r/Cxcl5/Emp2/Cxcl10/Ccl12/Ccl6/Thbs1/Prtn3/Ccl5/Anxa1/Cd300c2/Lgals3/Bst1/Cd300a/Srp54a/Ccl7/Mapk3/Trem1/Fcer1g/Cd74/Il1r1/Syk/Fut7
14,GRANULOCYTE CHEMOTAXIS,GOBP_GRANULOCYTE_CHEMOTAXIS,0.42029,29,69,6.48908854427715e-06,2.80976942436795e-08,7.19113654676572e-06,2.223472,0.635378,Ppbp/Cxcl3/S100a8/S100a9/Cxcl2/Ccl22/Cxcr2/C5ar2/Pf4/Ccl9/Ccl2/Csf3r/Cxcl5/Cxcl10/Ccl12/Ccl6/Thbs1/Ccl5/Anxa1/Cd300c2/Lgals3/Bst1/Srp54a/Ccl7/Mapk3/Trem1/Fcer1g/Cd74/Syk
15,RESPONSE TO INTERLEUKIN 1,GOBP_RESPONSE_TO_INTERLEUKIN_1,0.464286,26,56,1.56631828916914e-05,8.59071562427924e-08,1.735776699032e-05,2.23391,0.657657,Chil1/Epo/Il1rn/Camp/Mapk13/Il1r2/Il1rl2/Ccl2/Rps6ka4/Klf2/Nr1d1/Cd40/Ccl5/Mapk11/Mthfr/Nfkbia/Acod1/App/Irak2/Mapk3/Irak3/Cd38/Il1r1/Pycard/Sirpa/Tnfrsf11a
16,ANTIMICROBIAL HUMORAL IMMUNE RESPONSE,GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE,0.529412,18,34,3.86347535188986e-09,4.46101681470114e-12,4.28146088790942e-09,2.528142,0.816239,Ppbp/Cxcl3/S100a9/Ltf/Cxcl2/Ccl22/Camp/Defb1/Pf4/Ang/Ccl9/Ccl2/Cxcl5/Cxcl10/Ccl12/Ccl6/Ccl5/H2bc4
17,RRNA PROCESSING,GOBP_RRNA_PROCESSING,0.553571,93,168,7.15678558135406e-06,3.51206585046697e-08,7.93107105878983e-06,-1.998572,-0.410942,Ddx52/Chd7/Mak16/Eif4a3/Bms1/Pwp1/Brix1/Exosc2/Fam207a/Exosc5/Rsl1d1/Utp6/Ddx17/Snu13/Nop56/Bud23/Mtrex/Sirt7/Rps21/Mrto4/Nsun3/Sart1/Rrp15/Nop14/Rrp36/Gtf2h5/Nat10/Wdr46/Rpf1/Eri1/Ddx49/Nol10/Riok1/Nhp2/Gtpbp4/Mrm3/Rrp7a/Sbds/Zcchc4/Krr1/Nob1/Nvl/Znhit3/Nolc1/Mettl5/Imp4/Mphosph10/Ddx10/Rrp1b/Ddx27/Rcl1/Las1l/Rrp9/Heatr1/Rrp12/Ythdf2/Riok2/Rpl7l1/Pih1d1/Wdr18/Bop1/Wdr43/Dkc1/Wdr74/Ddx21/Noc4l/Ftsj3/Nop58/Pdcd11/Utp15/Wdr36/Utp4/Exosc4/Nop2/Mphosph6/Ddx56/Tsr1/Dis3/Suv39h1/Dimt1/Nol6/Nol9/Urb1/Nsun5/Dhx37/Kri1/Ebna1bp2/Exosc10/Utp20/Srfbp1/Rpp40/Rpusd1/Ddx51
18,RRNA METABOLIC PROCESS,GOBP_RRNA_METABOLIC_PROCESS,0.558974,109,195,4.04426961532754e-06,1.16744337118236e-08,4.4818151019691e-06,-2.011759,-0.401294,Ddx52/Chd7/Ippk/Mak16/Gtf3c3/Eif4a3/Bms1/Pwp1/Brix1/Exosc2/Fam207a/Exosc5/Rsl1d1/Utp6/Ddx17/Snu13/Nop56/Bud23/Ncl/Mtrex/Sirt7/Rps21/Trp53/Polr2e/Mrto4/Nsun3/Cd3eap/Sart1/Rrp15/Nop14/Rrp36/Gtf2h5/Nat10/Wdr46/Rpf1/Eri1/Ddx49/Nol10/Riok1/Nhp2/Smarca4/Gtpbp4/Mrm3/Rrp7a/Sbds/Zcchc4/Krr1/Nob1/Nvl/Znhit3/Nolc1/Mettl5/Imp4/Mphosph10/Ddx10/Rrp1b/Trir/Ddx27/Rcl1/Smarcb1/Las1l/Rrp9/Heatr1/Rrp12/Ythdf2/Riok2/Rpl7l1/Pih1d1/Wdr18/Bop1/Wdr43/Dkc1/Ddx11/Wdr74/Ddx21/Noc4l/Polr1e/Ftsj3/Nop58/Pdcd11/Utp15/Wdr36/Utp4/Exosc4/Nop2/Mphosph6/Ddx56/Tsr1/Mapt/Dis3/Suv39h1/Mtor/Dimt1/Nol6/Nol9/Urb1/Nsun5/Dhx37/Gtf3c6/Kri1/Ebna1bp2/Ercc6/Gtf3c5/Exosc10/Utp20/Srfbp1/Rpp40/Rpusd1/Ddx51
